id,time,comp_id,job_title,job_salary,job_address,job_work_year,job_temptation,skill_set
10,2021-01-01/01/21,2,Sr Business Info Mgmt Analyst,60k-60k,"Toronto, ON",unlimited,[],"[{""level"": ""excellent"", ""skill"": ""teamwork""}, {""level"": ""excellent"", ""skill"": ""teamwork""}]"
11,2021-01-01/01/21,2,"Investment Analyst, Wealth Product &amp; Strategy",60k-60k,"Toronto, ON",1-3,[],"[{""level"": ""know"", ""skill"": ""visualization""}, {""level"": ""strong"", ""skill"": ""interpretation""}, {""level"": ""strong"", ""skill"": ""leadership""}, {""level"": ""understand"", ""skill"": ""reimbursementaccessenvironment""}, {""level"": ""experience"", ""skill"": ""excel""}, {""level"": ""experience"", ""skill"": ""tableau""}, {""level"": ""strong"", ""skill"": ""planning""}]"
12,2021-01-01/01/21,2,Data Analytics Specialist,60k-60k,"Toronto, ON",unlimited,[],"[{""level"": ""strong"", ""skill"": ""planning""}, {""level"": ""effective"", ""skill"": ""timemanagement""}, {""level"": ""experience"", ""skill"": ""dataanalytics""}]"
13,2021-01-01/01/21,2,Data Scientist II,60k-60k,"Toronto, ON",unlimited,[],"[{""level"": ""know"", ""skill"": ""visualization""}, {""level"": ""strong"", ""skill"": ""powerbi""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""understand"", ""skill"": ""research""}, {""level"": ""experience"", ""skill"": ""customerplatforms""}]"
14,2021-01-01/01/21,2,SW Engineer - Framework (in Machine Learning),60k-70k,"Toronto, ON",unlimited,[],"[{""level"": ""strong"", ""skill"": ""communication""}, {""level"": ""strong"", ""skill"": ""written""}, {""level"": ""strong"", ""skill"": ""quantitativeresearch""}, {""level"": ""know"", ""skill"": ""sql""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}]"
15,2021-01-01/01/21,2,SW Engineer - Framework (in Machine Learning),60k-70k,"Toronto, ON",graduate,[],"[{""level"": ""strong"", ""skill"": ""communication""}, {""level"": ""strong"", ""skill"": ""written""}, {""level"": ""experience"", ""skill"": ""tableau""}, {""level"": ""strong"", ""skill"": ""planning""}]"
16,2021-01-01/01/21,2,Data scientist - TD Asset Management,60k-70k,"Toronto, ON",1-3,[],"[{""level"": ""strong"", ""skill"": ""powerbi""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""understand"", ""skill"": ""research""}, {""level"": ""experience"", ""skill"": ""customerplatforms""}]"
17,2021-01-01/01/21,2,Data scientist - TD Asset Management,60k-70k,"Toronto, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""excel""}, {""level"": ""strong"", ""skill"": ""leadership""}, {""level"": ""specialist"", ""skill"": ""excel""}]"
18,2021-01-01/01/21,2,Business Systems Analyst III,60k-70k,"Toronto, ON",3-5,[],"[{""level"": ""experience"", ""skill"": ""database""}, {""level"": ""experience"", ""skill"": ""sql""}, {""level"": ""know"", ""skill"": ""financialmodeling""}, {""level"": ""strong"", ""skill"": ""problem-solving""}, {""level"": ""strong"", ""skill"": ""analytical""}, {""level"": ""strong"", ""skill"": ""organizational""}]"
19,2021-01-01/01/21,2,Data Science &amp; Advanced Analytics Intern\/Co-op,60k-70k,"Toronto, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""strong"", ""skill"": ""planning""}, {""level"": ""strong"", ""skill"": ""quantitativeresearch""}, {""level"": ""know"", ""skill"": ""sql""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}]"
20,2021-01-01/01/21,2,Business Analyst,60k-70k,"Toronto, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""excellent"", ""skill"": ""teamwork""}]"
21,2021-01-01/01/21,2,Distribution Geospatial Intelligence Analyst Intern\/Co-op,60k-70k,"Toronto, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""proficient"", ""skill"": ""python""}, {""level"": ""know"", ""skill"": ""non-relationaldatabases""}, {""level"": ""strong"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""python""}, {""level"": ""strong"", ""skill"": ""sql""}]"
22,2021-01-01/01/21,2,Machine Learning Product Engineer,60k-75k,"Toronto, ON",unlimited,[],"[{""level"": ""strong"", ""skill"": ""communication""}, {""level"": ""strong"", ""skill"": ""written""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}]"
23,2021-01-01/01/21,2,Machine Learning Product Engineer,60k-75k,"Toronto, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""strong"", ""skill"": ""planning""}]"
24,2021-01-01/01/21,2,Senior Data Management Analyst,60k-75k,"Toronto, ON",5-10,[],"[{""level"": ""experience"", ""skill"": ""sql""}, {""level"": ""experience"", ""skill"": ""php""}, {""level"": ""proficiency"", ""skill"": ""excel""}, {""level"": ""know"", ""skill"": ""html""}, {""level"": ""know"", ""skill"": ""css""}, {""level"": ""know"", ""skill"": ""javascript""}, {""level"": ""excellent"", ""skill"": ""written""}, {""level"": ""excellent"", ""skill"": ""communications""}, {""level"": ""excellent"", ""skill"": ""interpersonal""}, {""level"": ""excellent"", ""skill"": ""organizational""}]"
25,2021-01-01/01/21,2,Senior Data Management Analyst,60k-75k,"Toronto, ON",5-10,[],"[{""level"": ""excellent"", ""skill"": ""organization""}, {""level"": ""proficiency"", ""skill"": ""sql""}, {""level"": ""proficiency"", ""skill"": ""mso365""}]"
26,2021-01-01/01/21,2,Senior Business Intelligence and Reporting Analyst,60k-75k,"Toronto, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""database""}, {""level"": ""experience"", ""skill"": ""stata""}, {""level"": ""know"", ""skill"": ""non-relationaldatabases""}, {""level"": ""strong"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""python""}, {""level"": ""strong"", ""skill"": ""sql""}]"
27,2021-01-01/01/21,2,Senior Business Insights Analyst,60k-75k,"Toronto, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""visualization""}, {""level"": ""experience"", ""skill"": ""sql""}, {""level"": ""experience"", ""skill"": ""tableau""}, {""level"": ""experience"", ""skill"": ""ssis""}, {""level"": ""experience"", ""skill"": ""powerbi""}, {""level"": ""experience"", ""skill"": ""projectmanagement""}]"
28,2021-01-01/01/21,2,Senior Analyst - Data Scientist,60k-75k,"Markham, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""r""}, {""level"": ""know"", ""skill"": ""visualization""}, {""level"": ""strong"", ""skill"": ""quantitativeresearch""}, {""level"": ""know"", ""skill"": ""sql""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}]"
29,2021-01-01/01/21,2,Senior Analyst - Data Scientist,60k-75k,"Markham, ON",graduate,[],"[{""level"": ""strong"", ""skill"": ""interpretation""}, {""level"": ""know"", ""skill"": ""non-relationaldatabases""}, {""level"": ""strong"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""python""}, {""level"": ""strong"", ""skill"": ""sql""}]"
30,2021-01-01/01/21,2,Project Analyst II,60k-75k,"Toronto, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""tableau""}, {""level"": ""experience"", ""skill"": ""powerbi""}, {""level"": ""experience"", ""skill"": ""projectmanagement""}, {""level"": ""experience"", ""skill"": ""sql""}]"
31,2021-01-01/01/21,2,Senior Business Analyst,38k-38k,"Toronto, ON",0-1,[],"[{""level"": ""know"", ""skill"": ""visualization""}, {""level"": ""strong"", ""skill"": ""powerbi""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""understand"", ""skill"": ""research""}, {""level"": ""experience"", ""skill"": ""customerplatforms""}]"
32,2021-01-01/01/21,2,Business Analyst Intern\/Co-op,60k-75k,"Toronto, ON",3-5,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""strong"", ""skill"": ""planning""}, {""level"": ""strong"", ""skill"": ""quantitativeresearch""}, {""level"": ""know"", ""skill"": ""sql""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}]"
33,2021-01-01/01/21,2,Business Analyst Intern\/Co-op,60k-75k,"Toronto, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""r""}, {""level"": ""strong"", ""skill"": ""leadership""}, {""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""proficient"", ""skill"": ""python""}]"
34,2021-01-01/01/21,2,Modelling\/Forecasting Analyst,60k-75k,"Toronto, ON",graduate,[],"[{""level"": ""experience"", ""skill"": ""sql""}, {""level"": ""experience"", ""skill"": ""planning""}, {""level"": ""experience"", ""skill"": ""analysis""}, {""level"": ""experience"", ""skill"": ""word""}, {""level"": ""experience"", ""skill"": ""excel""}, {""level"": ""experience"", ""skill"": ""project""}, {""level"": ""excellent"", ""skill"": ""written""}, {""level"": ""excellent"", ""skill"": ""communication""}, {""level"": ""excellent"", ""skill"": ""organizational""}]"
35,2021-01-01/01/21,2,Modelling\/Forecasting Analyst,60k-75k,"Toronto, ON",3-5,[],"[{""level"": ""familiar"", ""skill"": ""datamining""}, {""level"": ""experience"", ""skill"": ""stata""}, {""level"": ""specialist"", ""skill"": ""excel""}]"
36,2021-01-01/01/21,2,Modelling\/Forecasting Analyst,60k-75k,"Toronto, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""strong"", ""skill"": ""communication""}, {""level"": ""strong"", ""skill"": ""written""}]"
37,2021-01-01/01/21,2,Modelling\/Forecasting Analyst,60k-75k,"Toronto, ON",3-5,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""know"", ""skill"": ""non-relationaldatabases""}, {""level"": ""strong"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""python""}, {""level"": ""strong"", ""skill"": ""sql""}]"
38,2021-01-01/01/21,2,Sr Business Insights Analyst,60k-75k,"Toronto, ON",0-1,[],"[{""level"": ""experience"", ""skill"": ""database""}, {""level"": ""excellent"", ""skill"": ""teamwork""}]"
39,2021-01-01/01/21,2,Sr Business Insights Analyst,60k-75k,"Toronto, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""excellent"", ""skill"": ""teamwork""}, {""level"": ""know"", ""skill"": ""non-relationaldatabases""}, {""level"": ""strong"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""python""}, {""level"": ""strong"", ""skill"": ""sql""}]"
40,2021-01-01/01/21,2,Sr Business Insights Analyst,60k-75k,"Toronto, ON",3-5,[],"[{""level"": ""experience"", ""skill"": ""tableau""}, {""level"": ""experience"", ""skill"": ""powerbi""}, {""level"": ""know"", ""skill"": ""non-relationaldatabases""}, {""level"": ""strong"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""python""}, {""level"": ""strong"", ""skill"": ""sql""}]"
41,2021-01-01/01/21,2,Sr Business Insights Analyst,60k-75k,"Toronto, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""strong"", ""skill"": ""powerbi""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""understand"", ""skill"": ""research""}, {""level"": ""experience"", ""skill"": ""customerplatforms""}]"
42,2021-01-01/01/21,2,Sr Business Insights Analyst,60k-75k,"Toronto, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""excel""}, {""level"": ""strong"", ""skill"": ""planning""}, {""level"": ""strong"", ""skill"": ""quantitativeresearch""}, {""level"": ""know"", ""skill"": ""sql""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}]"
43,2021-01-01/01/21,2,Sr BI &amp; Reporting Analyst,80k-80k,"Toronto, ON",1-3,[],"[{""level"": ""know"", ""skill"": ""servicedeliverymanagement""}, {""level"": ""know"", ""skill"": ""portfolio""}, {""level"": ""know"", ""skill"": ""projectmanagement""}, {""level"": ""know"", ""skill"": ""resourcemanagement""}, {""level"": ""skill"", ""skill"": ""written""}, {""level"": ""skill"", ""skill"": ""communication""}, {""level"": ""skill"", ""skill"": ""analytical""}, {""level"": ""skill"", ""skill"": ""datamodelling""}]"
44,2021-01-01/01/21,2,Sr BI &amp; Reporting Analyst,80k-80k,"Toronto, ON",1-3,[],"[{""level"": ""strong"", ""skill"": ""interpretation""}, {""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""specialist"", ""skill"": ""excel""}]"
45,2021-01-01/01/21,2,Data Scientist II (1 Year Contract),80k-80k,"Toronto, ON",unlimited,[],"[{""level"": ""know"", ""skill"": ""visualization""}, {""level"": ""strong"", ""skill"": ""problem-solving""}, {""level"": ""experience"", ""skill"": ""dataanalytics""}]"
46,2021-01-01/01/21,2,Analyst Governance and Controls,80k-80k,"Toronto, ON",1-3,[],"[{""level"": ""know"", ""skill"": ""visualization""}, {""level"": ""experience"", ""skill"": ""stata""}, {""level"": ""know"", ""skill"": ""non-relationaldatabases""}, {""level"": ""strong"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""python""}, {""level"": ""strong"", ""skill"": ""sql""}]"
47,2021-01-01/01/21,2,Senior Analyst,80k-80k,"Toronto, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""know"", ""skill"": ""non-relationaldatabases""}, {""level"": ""strong"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""python""}, {""level"": ""strong"", ""skill"": ""sql""}]"
48,2021-01-01/01/21,2,Senior Analyst,80k-80k,"Toronto, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""projectmanagement""}, {""level"": ""specialist"", ""skill"": ""gis""}, {""level"": ""experience"", ""skill"": ""infrastructure""}, {""level"": ""experience"", ""skill"": ""planning""}]"
49,2021-01-01/01/21,2,Senior Analyst,80k-80k,"Toronto, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""excellent"", ""skill"": ""interpersonal""}, {""level"": ""specialist"", ""skill"": ""excel""}]"
50,2021-01-01/01/21,2,"Data Analyst Engineer, Senior Associate",80k-80k,"Toronto, ON",3-5,[],"[{""level"": ""strong"", ""skill"": ""planning""}, {""level"": ""experience"", ""skill"": ""stata""}, {""level"": ""specialist"", ""skill"": ""excel""}]"
51,2021-01-01/01/21,2,"Data Analyst Engineer, Senior Associate",80k-80k,"Toronto, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""excel""}, {""level"": ""strong"", ""skill"": ""planning""}, {""level"": ""strong"", ""skill"": ""quantitativeresearch""}, {""level"": ""know"", ""skill"": ""sql""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}]"
52,2021-01-01/01/21,2,"Data Analyst Engineer, Senior Associate",80k-80k,"Toronto, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""excel""}, {""level"": ""effective"", ""skill"": ""timemanagement""}]"
53,2021-01-01/01/21,2,"Data Analyst Engineer, Senior Associate",80k-80k,"Toronto, ON",unlimited,[],"[{""level"": ""understand"", ""skill"": ""linearregression""}, {""level"": ""know"", ""skill"": ""visualization""}, {""level"": ""strong"", ""skill"": ""quantitativeresearch""}, {""level"": ""know"", ""skill"": ""sql""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}]"
54,2021-01-01/01/21,2,Business Insights Analyst,100k-100k,"Toronto, ON",graduate,[],"[{""level"": ""excellent"", ""skill"": ""interpersonal""}, {""level"": ""experience"", ""skill"": ""stata""}, {""level"": ""know"", ""skill"": ""non-relationaldatabases""}, {""level"": ""strong"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""python""}, {""level"": ""strong"", ""skill"": ""sql""}]"
55,2021-01-01/01/21,2,Data &amp; Analytics Associate Program- DS&amp;AA (Graduate),100k-100k,"Toronto, ON",graduate,[],"[{""level"": ""experience"", ""skill"": ""tableau""}, {""level"": ""experience"", ""skill"": ""powerbi""}, {""level"": ""experience"", ""skill"": ""sql""}, {""level"": ""experience"", ""skill"": ""excel""}]"
56,2021-01-01/01/21,3,"Analyst, Medtech Insights (Toronto preferred)",60k-60k,"Toronto, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""tableau""}, {""level"": ""experience"", ""skill"": ""powerbi""}, {""level"": ""know"", ""skill"": ""non-relationaldatabases""}, {""level"": ""strong"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""python""}, {""level"": ""strong"", ""skill"": ""sql""}]"
57,2021-01-01/01/21,3,"Analyst, Medtech Insights (Toronto preferred)",60k-60k,"Toronto, ON",graduate,[],"[{""level"": ""strong"", ""skill"": ""excel""}, {""level"": ""strong"", ""skill"": ""sql""}, {""level"": ""strong"", ""skill"": ""powerbi""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""understand"", ""skill"": ""research""}, {""level"": ""experience"", ""skill"": ""customerplatforms""}, {""level"": ""experience"", ""skill"": ""crmplatforms""}, {""level"": ""excellent"", ""skill"": ""analytical""}, {""level"": ""excellent"", ""skill"": ""problemsolving""}]"
58,2021-01-01/01/21,3,"Analyst, Medtech Insights (Toronto preferred)",60k-60k,"Toronto, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""criticalthinking""}, {""level"": ""excellent"", ""skill"": ""teamwork""}]"
59,2021-01-01/01/21,3,Data Scientist,60k-60k,"Toronto, ON",3-5,[],"[{""level"": ""experience"", ""skill"": ""communication""}, {""level"": ""experience"", ""skill"": ""visio""}, {""level"": ""experience"", ""skill"": ""excel""}, {""level"": ""experience"", ""skill"": ""powerpoint""}]"
60,2021-01-01/01/21,3,Senior Client Analyst,60k-70k,"Toronto, ON",1-3,[],"[{""level"": ""strong"", ""skill"": ""communication""}, {""level"": ""strong"", ""skill"": ""written""}, {""level"": ""strong"", ""skill"": ""quantitativeresearch""}, {""level"": ""know"", ""skill"": ""sql""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}]"
61,2021-01-01/01/21,3,Senior Client Analyst,60k-60k,"Toronto, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""r""}, {""level"": ""experience"", ""skill"": ""stata""}, {""level"": ""experience"", ""skill"": ""dataanalytics""}]"
62,2021-01-01/01/21,3,Healthcare Data Analyst ,60k-70k,"Toronto, ON",graduate,[],"[{""level"": ""proficient"", ""skill"": ""excel""}, {""level"": ""proficient"", ""skill"": ""dataanalysis""}, {""level"": ""proficient"", ""skill"": ""visualization""}, {""level"": ""experience"", ""skill"": ""optimization""}]"
63,2021-01-01/01/21,3,Healthcare Data Analyst (fully remote),60k-70k,"Toronto, ON",1-3,[],"[{""level"": ""strong"", ""skill"": ""communication""}, {""level"": ""strong"", ""skill"": ""written""}, {""level"": ""experience"", ""skill"": ""tableau""}, {""level"": ""strong"", ""skill"": ""planning""}]"
64,2021-01-01/01/21,3,Healthcare Data Analyst (fully remote),60k-70k,"Toronto, ON",3-5,[],"[{""level"": ""strong"", ""skill"": ""communication""}, {""level"": ""strong"", ""skill"": ""written""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}]"
65,2021-01-01/01/21,3,Healthcare Data Analyst (fully remote),60k-70k,"Toronto, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""strong"", ""skill"": ""planning""}, {""level"": ""specialist"", ""skill"": ""excel""}]"
66,2021-01-01/01/21,3,Real World Data Business Analyst,60k-75k,"Toronto, ON",3-5,[],"[{""level"": ""excellent"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""problem-solving""}, {""level"": ""proficient"", ""skill"": ""python""}]"
67,2021-01-01/01/21,4,Customer Data Analyst,60k-60k,"Markham, ON",unlimited,[],"[{""level"": ""experience"", ""skill"": ""tableau""}, {""level"": ""experience"", ""skill"": ""sql""}, {""level"": ""experience"", ""skill"": ""oracle""}, {""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""experience"", ""skill"": ""visualrepresentationofdata""}, {""level"": ""experience"", ""skill"": ""python""}]"
68,2021-01-01/01/21,5,Cybersecurity Operations Analyst,60k-60k,"Oakville, ON",unlimited,"[{""temptation"":""flexiblework""}]","[{""level"": ""goodat"", ""skill"": ""communication""}, {""level"": ""know"", ""skill"": ""sap""}, {""level"": ""experience"", ""skill"": ""groceryretail""}, {""level"": ""strong"", ""skill"": ""customerfocus""}]"
69,2021-01-01/01/21,5,Cybersecurity Operations Analyst,60k-60k,"Oakville, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""tableau""}, {""level"": ""experience"", ""skill"": ""powerbi""}, {""level"": ""experience"", ""skill"": ""projectmanagement""}, {""level"": ""experience"", ""skill"": ""sql""}]"
70,2021-01-01/01/21,5,Data Analyst,60k-60k,"Oakville, ON",3-5,[],"[{""level"": ""strong"", ""skill"": ""planning""}, {""level"": ""strong"", ""skill"": ""quantitativeresearch""}, {""level"": ""know"", ""skill"": ""sql""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}]"
71,2021-01-01/01/21,5,Senior Data Analyst,60k-70k,"Oakville, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""proficient"", ""skill"": ""python""}, {""level"": ""experience"", ""skill"": ""dataanalytics""}]"
72,2021-01-01/01/21,5,Product Security Analyst,60k-75k,"Oakville, ON",3-5,[],"[{""level"": ""know"", ""skill"": ""visualization""}, {""level"": ""experience"", ""skill"": ""dataanalytics""}, {""level"": ""strong"", ""skill"": ""quantitativeresearch""}, {""level"": ""know"", ""skill"": ""sql""}, {""level"": ""proficient"", ""skill"": ""databasestructure""}, {""level"": ""experience"", ""skill"": ""powerbi""}]"
73,2021-01-01/01/21,5,Compensation Analyst,60k-75k,"Oakville, ON",1-3,[],"[{""level"": ""experience"", ""skill"": ""sap""}, {""level"": ""strong"", ""skill"": ""communication""}, {""level"": ""strong"", ""skill"": ""interpersonal""}, {""level"": ""strong"", ""skill"": ""analytical""}]"
74,2021-01-01/01/21,6,Data Analyst,60k-60k,"Toronto, ON",0-1,[],"[{""level"": ""know"", ""skill"": ""spss""}, {""level"": ""proficient"", ""skill"": ""dataanalytics""}, {""level"": ""experience"", ""skill"": ""websitecontentdevelopment""}, {""level"": ""understand"", ""skill"": ""mso365""}, {""level"": ""strong"", ""skill"": ""verbal""}, {""level"": ""strong"", ""skill"": ""written""}, {""level"": ""experience"", ""skill"": ""projectmanagement""}, {""level"": ""know"", ""skill"": ""research""}, {""level"": ""strong"", ""skill"": ""communication""}]"
